인증구분,인증번호,기업명,인증의 범위,유효기간
ISMS-P,ISMS-P-KISA-2026-025,(주)씨어스테크놀로지,심질환 모니터링 서비스(Cardio) 인프라 운영,2026-04-15~2029-04-14
ISMS-P,ISMS-P-KISA-2026-024,한국산업기술시험원,대표누리집 및 시험인증서비스 부문,2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-068,씨제이씨지브이 주식회사,"온라인 서비스(영화예매/매점판매, 회사홈페이지), 광고/미디어 서비스",2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-067,(주)티디에이치컴퍼니,온라인 쇼핑몰 운영(오까네)(정보통신망법 제47조의7에 따른 인증의 특례),2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-066,건양사이버대학교,원격교육시스템 운영,2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-065,(주)휴먼스케이프,"마미톡 플랫폼(마미톡, 마미박스), 레어노트 플랫폼(레어노트, 레어데이터) 운영",2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-064,(주)한국디지털자산수탁,가상자산 커스터디 및 금융서비스(가상자산 중개)(고시 제18조의2에 따른 예비인증),2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-063,(주)샵링커지앤씨,샵링커 쇼핑몰통합관리 솔루션,2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-062,(주)아성다이소,온라인 쇼핑몰 운영(다이소몰),2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-061,(주)케이티밀리의서재,"케이티밀리의서재 대고객 서비스(밀리의서재, 블라이스) 운영",2026-04-15~2029-04-14
ISMS,ISMS-KISA-2026-060,(주)비즈니스온커뮤니케이션,스마트빌(전자세금계산서 발급서비스) (정보통신망법 제47조의7에 따른 인증의 특례),2026-04-15~2029-04-14
ISMS-P,ISMS-P-KISA-2026-023,주식회사 케이티알파,"대표홈페이지 외 kt알파 쇼핑, 기프티쇼 대국민서비스",2026-04-01~2029-03-31
ISMS-P,ISMS-P-KISA-2026-022,(주)미리디,"미리디 대표홈페이지, 미리캔버스, 비즈하우스, 디자인허브, 프린트허브",2026-04-01~2029-03-31
ISMS-P,ISMS-P-KISA-2026-021,(주)플레어랩스,플레어레인 콘솔(고객사 계정 관리)(심사받지 않은 물리적 인프라 제외)(정보통신망법 제47조의7에 따른 인증의 특례),2026-04-01~2029-03-31
ISMS-P,ISMS-P-KISA-2026-020,(주)이마트,이마트 정보시스템 및 홈페이지 서비스 운영,2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-059,(주)와드,와드 서비스 플랫폼(캐치테이블),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-058,에퀴닉스코리아 유한회사,"SL1, SL4 Data Center Operation (Colocation) (심사받지 않은 물리적 인프라 제외)",2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-057,주식회사 한패스인터내셔널,알뜰폰 서비스 운영(한패스모바일),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-056,(주)티르티르,(주)티르티르 미용 (Beauty) 온라인 서비스 쇼핑몰(정보통신망법 제47조의7에 따른 인증의 특례),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-055,셀린느코리아(유),온라인쇼핑몰 서비스 운영(셀린느닷컴) (심사받지 않은 물리적 인프라 및 SaaS서비스 인프라 영역 제외),2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-054,주식회사 비케이알,"비케이알 온라인 서비스(버거킹, 팀홀튼)",2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-053,교촌에프앤비(주),"교촌 기업 홈페이지, 교촌 브랜드 홈페이지",2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-052,니오라코리아(유),별정통신서비스(플래시모바일) 및 온라인서비스(에센셜)운영,2026-04-01~2029-03-31
ISMS,ISMS-KISA-2026-051,(주)키즈노트,"키즈노트 온라인 서비스 운영(키즈노트, 클래스노트, 패밀리노트)",2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-050,혼다코리아 주식회사,혼다코리아 온라인 플랫폼 서비스,2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-049,메가스터디교육(주),"온라인교육서비스(메가스터디, 김급식, QUBE, 인테그랄, 메가스터디 러셀/학원, 엠베스트, 엘리하이,엘리하이키즈, SE학원, 하이엠수학, 유니스터디, 미북)",2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-048,(주)브로드밴드아이디씨,"VIDC 서비스(서버 호스팅, 코로케이션, CDN, 인코딩 서비스)(정보통신망법 제47조의7에 따른 인증의 특례)",2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-047,(주)매경에이엑스,경제 포털 온라인 뉴스 서비스,2026-03-19~2029-03-18
ISMS,ISMS-KISA-2026-046,한국피엠오(주),알뜰폰 서비스 운영(밸류컴),2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-045,(주)신세계아이앤씨,"스파로스 및 대외서비스 운영(eCvan, eCtax, eCdocu, goodMD, 스파로스클라우드EDI, 메세징서비스, 스파로스POS, 스파로스아카데미 등)",2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-044,(주)디에스알브이랩스,블록체인 인프라 서비스 및 가상자산 보관관리(커스터디)서비스 운영,2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-043,주식회사 위대한상상,요기요 서비스 운영,2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-042,(주)현대벤디스,기업 복지 서비스 플랫폼(식권대장)(정보통신망법 제47조의7에 따른 인증의 특례),2026-03-18~2029-03-17
ISMS,ISMS-KISA-2026-041,(주)오픈에셋,디지털자산 커스터디 지갑 서비스(고시 제18조의2에 따른 예비인증),2026-03-18~2029-03-17
ISMS-P,ISMS-P-FSI-2026-002,전북은행,"인터넷 뱅킹서비스(웹, 모바일)",2026-03-10~2029-03-09
ISMS-P,ISMS-P-FSI-2026-001,케이비손해보험,"대고객 전자금융거래 서비스(홈페이지, 다이렉트, 퇴직연금)(GA 채널 제외)(심사받지 않은 물리적 인프라 제외)",2026-03-10~2029-03-09
ISMS,ISMS-FSI-2026-007,전북은행,지자체 금고 및 전산센터 운영,2026-03-10~2029-03-09
ISMS,ISMS-FSI-2026-006,(주)핀다,"온라인 서비스 운영(핀다, 핀다유니콘, 오픈업)(심사받지 않은 물리적 인프라 제외)",2026-03-10~2029-03-09
ISMS-P,ISMS-P-KISA-2026-019,이트너스(주),인사·총무 경영지원 서비스 통합 운영 시스템(ESRM),2026-03-05~2029-03-04
ISMS-P,ISMS-P-KISA-2026-018,웍스피어 유한책임회사,"온라인 리크루팅 서비스(잡코리아, 알바몬, 게임잡, 보스몬/크루몬, nooc, KLiK)",2026-03-05~2029-03-04
ISMS-P,ISMS-P-KISA-2026-017,스마일샤크(주),클라우드 메니지드 서비스 운영 (Cloud MSP)(심사받지 않은 물리적 인프라 및 SaaS서비스 인프라 영역 제외),2026-03-05~2029-03-04
ISMS-P,ISMS-P-KISA-2026-016,교보다솜케어(주),교보다솜케어 헬스케어 서비스,2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-040,한국산업안전보건공단,한국산업안전보건공단 K2B시스템,2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-039,한국결제네트웍스(유),"전자금융서비스 운영 (VAN, PG, 펌뱅킹)",2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-038,주식회사 엔비티,모바일 광고 포인트 서비스 운영(심사받지 않은 물리적 인프라 제외),2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-037,비댁스 주식회사,가상자산 수탁 보관 및 이전 서비스,2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-036,(주)웅진씽크빅,"스마트 학습 및 온라인서비스(브랜드 홈페이지, 북클럽, 라운지, 웅진스마트올, 스마트올중학, 웅진마켓, 유데미큐레이션, 슈퍼팟잉글리시, 투게더, 딸기콩)",2026-03-05~2029-03-04
ISMS,ISMS-KISA-2026-035,(주)더블엑스소프트,가상자산 트랜잭션 이력 분석을 통한 세무회계 서비스 (정보통신망법 제47조의7에 따른 인증의 특례),2026-03-04~2029-03-03
ISMS,ISMS-KISA-2026-034,(주)레그원,알뜰폰 서비스 운영(온국민폰),2026-03-04~2029-03-03
ISMS,ISMS-KISA-2026-033,(주)에이프러스,알뜰폰(MVNO) 서비스,2026-03-04~2029-03-03
ISMS-P,ISMS-P-KISA-2026-015,(주)코리아세븐,세븐일레븐 모바일 앱 서비스,2026-02-19~2029-02-18
ISMS-P,ISMS-P-KISA-2026-014,(주) 에임메드,"헬스케어 서비스(건강검진, 검진서비스) 운영",2026-02-19~2029-02-18
ISMS-P,ISMS-P-KISA-2026-013,한국교육학술정보원,AI 디지털 교육자료 포털 서비스,2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-032,(주)골프존커머스,"인터넷 쇼핑몰(골프존마켓, 골핑, 스타일캐디) 및 중고거래플랫폼 (골프존마켓 이웃) 운영",2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-031,(주)안랩블록체인컴퍼니,ABC Cloud Wallet 서비스 운영(고시 제18조의2에 따른 예비인증),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-030,(주)하이어다이버시티,하이어비자 서비스(정보통신망법 제47조의7에 따른 인증의 특례),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-029,비즈톡 주식회사,비즈톡 비즈메시지 운영(정보통신망법 제47조의7에 따른 인증의 특례),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-028,에르메스코리아(유),온라인 쇼핑몰 서비스 운영(심사받지 않은 물리적 인프라 제외),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-027,룰루레몬애틀라티카코리아(유),온라인 쇼핑몰 운영(lululemon)(심사받지 않은 물리적 인프라 제외),2026-02-19~2029-02-18
ISMS,ISMS-KISA-2026-026,주식회사 유디아이디,"전자지불서비스(페이앱, 라이트페이) 및 부가서비스(블로그페이, 유캔싸인, 프로셀, 픽셀, 링크스토리) 운영",2026-02-19~2029-02-18
ISMS-P,ISMS-P-KISA-2026-012,(주)경동도시가스,대표 홈페이지 및 고객관리 서비스,2026-02-05~2029-02-04
ISMS,ISMS-KISA-2026-025,(주)농협정보시스템,"집적정보통신시설(IDC)운영 (코로케이션, 클라우드(IaaS), 네트워크 및 보안서비스 제공)",2026-02-05~2029-02-04
ISMS,ISMS-KISA-2026-024,아슈리온코리아(유),휴대폰 단말 보험 서비스 및 휴대폰 기술 상담 및 지원 서비스,2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-005,유안타증권,"트레이딩 시스템 운영(HTS, WTS, MTS)(심사받지 않은 물리적 인프라 제외)",2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-004,(주)이동의즐거움,MVNO 서비스 운영,2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-003,부산하나로카드,교통카드 관리서비스 운영,2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-002,마이비,교통카드 관리서비스 운영,2026-02-05~2029-02-04
ISMS,ISMS-FSI-2026-001,(주)이동의즐거움,"선불카드 관리시스템, 시외버스 예매 발권 서비스 및  행복더하기 복지플랫폼 운영(심사받지 않은 물리적 인프라 제외)",2026-02-05~2029-02-04
ISMS-P,ISMS-P-KISA-2026-011,(주)원티드랩,온라인 채용 및 인사관리 서비스 운영,2026-02-04~2029-02-03
ISMS-P,ISMS-P-KISA-2026-010,인천국제공항공사,인천국제공항 홈페이지 및 고객의 소리,2026-02-04~2029-02-03
ISMS-P,ISMS-P-KISA-2026-009,트리플콤마 주식회사,골드스푼 서비스 운영(정보통신망법 제47조의7에 따른 인증의 특례),2026-02-04~2029-02-03
ISMS,ISMS-KISA-2026-023,드림라인(주),"정보통신망 서비스 운영(ISP, VoIP, UMS, MVNO, VMS, 웹팩스) 및 클라우드 서비스",2026-02-04~2029-02-03
ISMS,ISMS-KISA-2026-022,에이케이플라자 주식회사,백화점 온라인 서비스,2026-02-04~2029-02-03
ISMS,ISMS-KISA-2026-021,주식회사 헥토이노베이션,"온라인 서비스 개발 및 운영 (정보도용차단서비스, 생활정보서비스, 자산관리정보서비스)",2026-02-04~2029-02-03
ISMS,ISMS-KISA-2026-020,(주)케이비헬스케어,"KB오케어 및 헬스케어 서비스(건강관리, 검진서비스) 운영",2026-02-04~2029-02-03
ISMS-P,ISMS-P-KISA-2026-008,주식회사 케이티앤지,"케이티앤지 대고객 온라인 서비스 운영 (대표홈페이지, 릴서비스, 상상마당, 상상플래닛)",2026-01-22~2029-01-21
ISMS-P,ISMS-P-KISA-2026-007,주식회사 디투홈,디투홈 쇼핑몰(정보통신망법 제47조의 7에 따른 인증의 특례),2026-01-22~2029-01-21
ISMS-P,ISMS-P-KISA-2026-006,(주)엔에스쇼핑,"NS홈쇼핑 서비스(TV/데이터 홈쇼핑, 온라인 쇼핑몰, 카탈로그 쇼핑)",2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-019,(주)트리니티항공,항공권 온라인 예약 및 대외서비스 운영,2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-018,대상웰라이프(주),"대상웰라이프 외부 서비스(웰라이프몰, B2B몰, 당프로, 고객사랑) 및 대표 홈페이지 운영",2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-017,에스케이브로드밴드 주식회사,"초고속인터넷, VOIP, CATV 등 ISP 서비스 운영",2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-016,에스케이브로드밴드 주식회사,코로케이션 및 CDN 등 IDC 서비스 운영,2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-015,네이트커뮤니케이션즈(주),"네이트커뮤니케이션즈 인터넷 서비스 운영(네이트, 네이트온, 싸이메라, 온라인 광고)",2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-014,(주)리파인,권리조사 서비스 (전세자금),2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-013,롯데쇼핑(주)롯데마트사업본부,"롯데마트 · 슈퍼 온라인 서비스(회사소개, 롯데마트GO, 롯데마트 제타, 보틀벙커, 문화센터, 채용, 모바일도와, SRM(협력사포털))",2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-012,경희사이버대학교,원격 교육시스템 운영,2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-011,(주)이랜드이츠,"이랜드이츠 온라인 서비스 (애슐리멤버스, 캠페인 서비스, 이랜드이츠, 더카페)",2026-01-22~2029-01-21
ISMS,ISMS-KISA-2026-010,대상정보기술(주),대상그룹 VIDC 운영 및 SMS 서비스,2026-01-22~2029-01-21
ISMS-P,ISMS-P-KISA-2026-005,한국철도공사,"한국철도 코레일(예매, 교통카드, 물류, 상생) 서비스 운영",2026-01-21~2029-01-20
ISMS-P,ISMS-P-KISA-2026-004,(주)카카오엔터테인먼트,카카오엔터테인먼트 온라인 서비스 운영,2026-01-21~2029-01-20
ISMS-P,ISMS-P-KISA-2026-003,주식회사 아톡,"아톡 개인용 전화어플 및 아톡비즈 기업용솔루션(Office,CRM,CTI 서비스)",2026-01-21~2029-01-20
ISMS-P,ISMS-P-KISA-2026-002,롯데지알에스(주),"롯데GRS 온라인 서비스(롯데잇츠 웹/앱, CRM 시스템, 홈페이지)",2026-01-21~2029-01-20
ISMS-P,ISMS-P-KISA-2026-001,에스케이에코플랜트(주),"분양, 입주, 하자보수, 고객지원(문의) 서비스 (심사받지 않은 물리적 인프라 및 SaaS서비스 인프라 영역 제외)",2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-009,(주)딜리셔스,"동대문 도소매 중개 플랫폼 서비스(신상마켓, 신상애드, 신상스튜디오, 에스오플러스)운영",2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-008,(주)KCTV제주방송,알뜰폰 서비스 운영(KCTV모바일),2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-007,(주)그렙,온라인 교육 및 평가 서비스,2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-006,웍스피어 유한책임회사,"채용관리시스템(나인하이어), 채용관리솔루션(JRS)",2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-005,인포뱅크(주),"인포뱅크B2B서비스(MT,MO,알림톡,상담톡,브랜드메세지), 인터넷 문자발송 웹사이트(윙고,비즈고,비즈플러스), 챗봇서비스(채티스트),팬덤앱서비스(스타투)",2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-004,(주)리만코리아,리만코리아 온라인 몰 및 대외 서비스 운영,2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-003,한국암웨이(주),한국 암웨이 온라인 쇼핑몰 및 대외 서비스 운영(심사받지 않은 물리적 인프라 제외),2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-002,(주)콘텐츠브릿지,IT 매니지드 서비스 운영,2026-01-21~2029-01-20
ISMS,ISMS-KISA-2026-001,데상트코리아(주),"온라인 쇼핑몰(데상트코리아 공식E-SHOP), 대외서비스 운영(협력사포털, 채용사이트)",2026-01-21~2029-01-20
ISMS-P,ISMS-P-KISA-2025-069,주식회사 빗썸,가상자산거래소(빗썸) 서비스 운영(심사받지 않은 물리적 인프라 제외),2025-12-18~2028-12-17
ISMS-P,ISMS-P-KISA-2025-068,(사)한국금융연수원,온라인 교육 서비스,2025-12-18~2028-12-17
ISMS-P,ISMS-P-FSI-2025-015,중소기업은행,"인터넷뱅킹 서비스 (웹, 모바일)",2025-12-18~2028-12-17
ISMS,ISMS-KISA-2025-184,(주)더네이쳐홀딩스,"온라인 쇼핑몰 운영 (엔스테이션몰,마크곤잘레스몰,브롬톤런던몰)",2025-12-18~2028-12-17
ISMS,ISMS-KISA-2025-183,(주)아톤,"사설인증서 중계 및 부가서비스 운영(OTN, 생활, 증권, 채팅상담)",2025-12-18~2028-12-17
ISMS,ISMS-KISA-2025-182,(주)엠티에스컴퍼니,메시지 발송 서비스(정보통신망법 제47조의7에 따른 인증의 특례),2025-12-18~2028-12-17
ISMS,ISMS-KISA-2025-181,(주)놀유니버스,"놀유니버스 온라인 서비스(NOL,NOL 인터파크, 트리플, NOL World) (심사받지 않은 물리적 인프라 제외)",2025-12-18~2028-12-17
ISMS,ISMS-KISA-2025-180,(유)아웃백스테이크하우스코리아,아웃백 온라인 서비스 운영 (홈페이지 및 모바일 앱),2025-12-18~2028-12-17
ISMS,ISMS-KISA-2025-179,(주) 이스트소프트,"이스트소프트 서비스(알툴즈, 페르소, 피크닉,KDT) 운영",2025-12-18~2028-12-17
ISMS,ISMS-FSI-2025-010,중소기업은행,IT센터 운영,2025-12-18~2028-12-17
ISMS,ISMS-KISA-2025-178,에스케이렌터카 주식회사,"차량 렌탈 서비스, 스마트링크 서비스",2025-12-17~2028-12-16
ISMS,ISMS-KISA-2025-177,주식회사 아이비김영,온라인 교육 서비스 운영,2025-12-17~2028-12-16
ISMS,ISMS-KISA-2025-176,주) 비지에프네트웍스,"BGF네트웍스 택배 서비스(CUPOST), 모바일상품권 운영",2025-12-17~2028-12-16
ISMS,ISMS-KISA-2025-175,(주)찬스모바일,알뜰폰 서비스 운영(찬스모바일),2025-12-17~2028-12-16
ISMS,ISMS-KISA-2025-174,텐센트 클라우드 컴퓨팅 (베이징) 주식회사,텐센트 클라우드 한국리전의 인프라 운영(심사받지 않은 물리적 인프라 제외),2025-12-17~2028-12-16
ISMS,ISMS-KISA-2025-173,(주)섹타나인,VAN/PG 서비스,2025-12-17~2028-12-16
ISMS,ISMS-KISA-2025-172,주식회사 티머니,티머니 카드 결제서비스 운영,2025-12-17~2028-12-16
ISMS,ISMS-KISA-2025-171,주식회사 유비온,"원격 교육서비스 운영 (사이버연수원, 와우패스, 원격평생교육원, 코스모스, 그레이트마인즈)(정보통신망법 제47조의7에 따른 인증의 특례)",2025-12-17~2028-12-16
ISMS-P,ISMS-P-KISA-2025-166,삼성전자(주),"삼성월렛 서비스(결제, 모바일신분증, 계좌, 환전, 학생증, 멤버십, 쿠폰, 탑승권, 티켓, 전자증명서, 전기차 충전카드, 선물, 이벤트, 페이플래너)",2025-12-03~2028-12-02
ISMS-P,ISMS-P-KISA-2025-067,비누커머스(주),대학생 전문 커머스플랫폼 (에브리유니즈),2025-12-03~2028-12-02
ISMS-P,ISMS-P-KISA-2025-066,(주)뉴인,"온라인 교육 플랫폼 서비스 (터치클래스, 터치클래스 에코, 뉴캠퍼스)",2025-12-03~2028-12-02
ISMS-P,ISMS-P-KISA-2025-064,주식회사 쿼리파이,QueryPie AI Platform (AIP) 서비스 운영(심사받지 않은 물리적 인프라 제외),2025-12-03~2028-12-02
ISMS-P,ISMS-P-FSI-2025-014,교보증권(주),"전자금융서비스(트레이딩, 뱅킹, 금융상품, 투자정보)",2025-12-03~2028-12-02
ISMS,ISMS-KISA-2025-170,세종네트웍스 주식회사,"ISP, IDC, 정보통신서비스 (웹팩스, 메시지, 트로이컷, 뷰포유, AI서비스)",2025-12-03~2028-12-02
ISMS,ISMS-KISA-2025-169,(주)기프티스타,기프티스타 서비스 플랫폼 운영,2025-12-03~2028-12-02
ISMS,ISMS-KISA-2025-168,롯데칠성음료(주),"칠성몰, 대표홈페이지",2025-12-03~2028-12-02
ISMS,ISMS-KISA-2025-167,해피블록 주식회사,"가상자산 지갑 및 금융서비스 (가상자산 중개,운용, 위탁매매)",2025-12-03~2028-12-02
ISMS,ISMS-KISA-2025-166,(주)한국디지털거래소,가상자산 거래소 운영(플라이빗),2025-12-03~2028-12-02
ISMS,ISMS-KISA-2025-165,케이지모빌리티(주),"대고객서비스(KGM 대표 홈페이지, KGM 인증 중고차 서비스, KGM 온라인스토어)및 커넥티드카 서비스(MVNO) 운영",2025-12-03~2028-12-02
ISMS,ISMS-KISA-2025-164,대구보건대학교,"학사행정시스템운영(학적, 성적관리, 학사관리)",2025-12-03~2028-12-02
ISMS-P,ISMS-P-KISA-2025-063,주식회사 에스알,SRT 홈페이지 및 앱 운영,2025-11-19~2028-11-18
ISMS-P,ISMS-P-KISA-2025-062,(주)엘지헬로비전,"방송(TV), 인터넷(ISP), 인터넷전화(VoIP), 모바일(MVNO), 렌탈, 링스쿨 서비스 운영",2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-163,(주)라이프매니지먼트,홈닷 ERP 서비스 운영,2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-162,차일들리 주식회사,가상자산 거래소 및 지갑 서비스 운영,2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-161,포티투닷(주),포티투닷 정보통신서비스(무선재판매),2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-160,지엔터프라이즈(주),"비즈넵 서비스 운영(환급, 세나)",2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-159,주식회사에스에스엘케이에이치,"온라인 쇼핑몰 서비스 운영 (핫핑, 럽럽코스메틱, 런던다다)(정보통신망법 제47조의7에 따른 인증의 특례)",2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-158,(주)씨제이이엔엠,미디어/방송 콘텐츠 및 미디어 서비스 운영(Mnet+),2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-157,주식회사 비트망고,모바일 퍼즐 게임 서비스 운영,2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-156,숭실사이버대학교,원격교육시스템 운영,2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-155,(주)블룸에이아이,"채팅상담, ARS 콜센터 솔루션 및 고객관리 솔루션 운영(정보통신망법 제47조의7에 따른 인증의 특례)",2025-11-19~2028-11-18
ISMS,ISMS-KISA-2025-154,영진텔레콤(주),알뜰폰 서비스 운영(토리모바일),2025-11-19~2028-11-18
ISMS-P,ISMS-P-FSI-2025-013,동양생명보험(주),보험업무 (FC 채널) 및 홈페이지(보험서비스)(심사 받지 않은 물리적 인프라제외),2025-11-18~2028-11-17
ISMS-P,ISMS-P-FSI-2025-012,디비손해보험,"홈페이지(보험서비스) 및 보험업무(PA, 다이렉트 채널)",2025-11-18~2028-11-17
ISMS-P,ISMS-P-FSI-2025-011,(주)비바리퍼블리카,토스(Toss) 전자금융서비스(심사받지 않은 물리적 인프라 제외),2025-11-18~2028-11-17
ISMS-P,ISMS-P-FSI-2025-010,삼성생명보험,홈페이지 및 다이렉트 보험 서비스(GA 채널 제외)(심사받지 않은 물리적 인프라 제외),2025-11-18~2028-11-17
ISMS,ISMS-FSI-2025-009,코스콤,인증서비스 운영,2025-11-18~2028-11-17
ISMS,ISMS-FSI-2025-008,코스콤,"증권업무시스템, 금융정보시스템 및 전산센터 운영",2025-11-18~2028-11-17
ISMS-P,ISMS-P-KISA-2025-061,삼성물산(주),"건설부문 래미안, 홈닉, Bynd 서비스 및 대외 홈페이지 (대표/건설/래미안)",2025-11-05~2028-11-04
ISMS-P,ISMS-P-KISA-2025-060,(주)엘지씨엔에스,"LG CNS B2C 서비스 운영(MY LG ID, 라이프케어, 버터타임)",2025-11-05~2028-11-04
ISMS-P,ISMS-P-KISA-2025-059,한국재정정보원,디지털예산회계시스템(dBrain+) 및 국고보조금통합관리시스템(e나라도움) 서비스,2025-11-05~2028-11-04
ISMS-P,ISMS-P-KISA-2025-058,(주)제이비케이랩,제이비케이랩 온라인쇼핑몰 서비스 운영,2025-11-05~2028-11-04
ISMS-P,ISMS-P-KISA-2025-057,(주)나인투원,쏘카일레클 서비스 운영,2025-11-05~2028-11-04
ISMS-P,ISMS-P-KISA-2025-056,(주)사람인,"사람인 서비스 운영(취업 플랫폼, 온라인 마켓 플랫폼, 매칭플랫폼)",2025-11-05~2028-11-04
ISMS-P,ISMS-P-KISA-2025-055,삼성서울병원,CDW(Clinical Data Warehouse) / FAITH(Framework for AI & Translational Healthcare Data),2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-153,폴스타오토모티브코리아 유한회사,폴스타 온라인 서비스 (심사받지 않은 물리적 인프라 및 SaaS서비스 인프라 영역 제외),2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-152,(주)무하유,"카피킬러 서비스, 프리즘 서비스, 몬스터 서비스 (정보통신망법 제47조의7에 따른 인증의 특례)",2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-151,액티스데이터센터서울(유),집적정보통신시설 (IDC) 운영,2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-150,프라다코리아(유),"프라다코리아 공식 온라인스토어 운영(프라다, 미우미우) (심사받지 않은 물리적 인프라 및 SaaS서비스 인프라 영역제외)",2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-149,(주)블루개러지,블루개러지 온라인 서비스 운영,2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-148,씨그마알드리치코리아(유),이커머스 서비스(씨그마알드리치)(심사받지 않은 물리적 인프라 제외),2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-147,한국재정정보원,한국재정정보원 대표 홈페이지 및 사이버안전센터 모의해킹 서비스,2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-146,(주)멀티캠퍼스,"Total HRD 서비스 운영(멀티캠퍼스 이러닝 서비스, 집합교육 서비스, OPIc 평가 서비스, 지식컨텐츠 서비스)",2025-11-05~2028-11-04
ISMS,ISMS-KISA-2025-145,(주)사람인,HR 전문 채용대행 및 임대시스템,2025-11-05~2028-11-04
ISMS-P,ISMS-P-FSI-2025-009,코리아크레딧뷰로(주),"CB, 통계서비스 및 본인인증(수탁업무제외)(심사받지 않은 물리적 인프라 제외)",2025-10-28~2028-10-27
ISMS,ISMS-FSI-2025-006,KIS정보통신주식회사,VAN/PG/선불 서비스 및 인프라 운영,2025-10-28~2028-10-27
ISMS-P,ISMS-P-KISA-2025-054,메가존클라우드 주식회사,"메가존클라우드 서비스 운영(Cloud MSP, HyperBilling, 융합평생교육원, MegazonePoPs, CloudPlex, SpaceONE, Halo, HyperMig, 메가버드) (심사받지 않은 물리적 인프라 제외)",2025-10-22~2028-10-21
